prov_insc;cant_insc;parr_insc;mcap_bie;dur_mat;cau_div;nac_1;sexo_1;edad_1;hijos_1;p_etnica1;niv_inst1;nac_2;sexo_2;edad_2;hijos_2;p_etnica2;niv_inst2
Santa Elena;Salinas;Salinas, cabecera cantonal; No;7;Por mutuo consentimiento vía judicial; Ecuatoriano;Hombre;70;0;Mulato; Secundaria; Ecuatoriano;Mujer;45;0;Montubio; Superior Universitario
Guayas;Milagro;Milagro, cabecera cantonal; Sin información;4;Por mutuo consentimiento vía judicial; Ecuatoriano;Hombre;35;0;Mestizo; Secundaria; Ecuatoriano;Mujer;29;0;Mestizo; Educación media o Bachillerato
Pichincha;Quito;Calderón; No;17;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos; Ecuatoriano;Hombre;52;0;Mestizo; Educación Básica; Ecuatoriano;Mujer;46;1;Mestizo; Educación Básica
Pichincha;Quito;Calderón; No;11;Por mutuo consentimiento vía judicial; Ecuatoriano;Hombre;47;0;Mestizo; Educación media / Bachillerato; Ecuatoriano;Mujer;47;1;Mestizo; Superior Universitario
Imbabura;Otavalo;Jordán; No;3;Por mutuo consentimiento vía notarial; Ecuatoriano;Hombre;21;0;Indígena; Secundaria; Ecuatoriano;Mujer;22;1;Indígena; Secundaria
Carchi;Tulcán;González Suárez; No;2;Por mutuo consentimiento vía notarial; Ecuatoriano;Hombre;22;0;Mestizo; Secundaria; Ecuatoriano;Mujer;21;0;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu; No;6;Por mutuo consentimiento vía notarial; Ecuatoriano;Hombre;23;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;0;Mestizo; Secundaria
Imbabura;Otavalo;Jordán; No;3;Los tratos crueles o violencia contra la mujer o miembros del núcleo familiar; Ecuatoriano;Hombre;27;0;Indígena; Primaria; Ecuatoriano;Mujer;22;1;Indígena; Secundaria
Imbabura;Otavalo;Jordán; No;2;Por mutuo consentimiento vía judicial; Ecuatoriano;Hombre;25;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;1;Mestizo; Secundaria
Tungurahua;San Pedro de Pelileo;Pelileo; No;6;Por mutuo consentimiento vía notarial; Ecuatoriano;Hombre;25;0;Mestizo; Primaria; Ecuatoriano;Mujer;21;0;Mestizo; Primaria
Imbabura;Otavalo;Jordán; No;2;Por mutuo consentimiento vía notarial; Ecuatoriano;Hombre;30;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;1;Mestizo; Secundaria
Tungurahua;Ambato;Huachi Chico; No;3;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos; Ecuatoriano;Hombre;25;0;Indígena; Educación media / Bachillerato; Ecuatoriano;Mujer;21;0;Indígena; Secundaria
Imbabura;Otavalo;Jordán; No;3;El adulterio de uno de los cónyuges; Ecuatoriano;Hombre;24;0;Indígena; Secundaria; Ecuatoriano;Mujer;22;1;Indígena; Secundaria
Imbabura;Otavalo;Jordán; No;5;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos; Ecuatoriano;Hombre;25;0;Indígena; Primaria; Ecuatoriano;Mujer;22;0;Indígena; Secundaria
Pichincha;Quito;Quitumbe; No;3;Por mutuo consentimiento vía notarial; Ecuatoriano;Hombre;25;0;Mestizo; Primaria; Ecuatoriano;Mujer;22;1;Mestizo; Primaria
Pichincha;Quito;Quitumbe; No;3;Por mutuo consentimiento vía judicial; Ecuatoriano;Hombre;27;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;1;Mestizo; Secundaria
Tungurahua;Baños de Agua Santa;Baños de Agua Santa, cabecera cantonal; No;2;Por mutuo consentimiento vía notarial; Ecuatoriano;Hombre;30;0;Mestizo; Superior Universitario; Ecuatoriano;Mujer;21;0;Mestizo; Secundaria
Carchi;Tulcán;González Suárez; No;2;El estado habitual de falta de armonía de las dos voluntades en la vida matrimonial; Ecuatoriano;Hombre;24;0;Mestizo; Secundaria; Ecuatoriano;Mujer;21;1;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu; No;1;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos; Ecuatoriano;Hombre;23;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;0;Mestizo; Secundaria
Chimborazo;Riobamba;Lizarzaburu; No;6;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos; Ecuatoriano;Hombre;25;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;1;Indígena; Secundaria
Imbabura;Otavalo;Jordán; No;4;Por mutuo consentimiento vía judicial; Ecuatoriano;Hombre;29;0;Mestizo; Secundaria; Ecuatoriano;Mujer;22;1;Mestizo; Secundaria
Pichincha;Quito;Quitumbe; No;1;Los tratos crueles o violencia contra la mujer o miembros del núcleo familiar; Ecuatoriano;Hombre;34;0;Mestizo; Educación media / Bachillerato; Ecuatoriano;Mujer;22;0;Mestizo; Secundaria
Cotopaxi;Latacunga;Ignacio Flores (parque Flores); No;1;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos; Ecuatoriano;Hombre;26;0;Mestizo; Educación media / Bachillerato; Ecuatoriano;Mujer;21;0;Mestizo; Secundaria
Pichincha;Quito;Itchimbía; No;38;Por mutuo consentimiento vía judicial; Ecuatoriano;Hombre;62;7;Blanco; Superior no Universitario; Ecuatoriano;Mujer;62;7;Otro; Superior no Universitario
Pichincha;Quito;Itchimbía; Sin información;32;Por mutuo consentimiento vía judicial; Ecuatoriano;Hombre;53;6;Mestizo; Educación Básica; Ecuatoriano;Mujer;49;6;Sin información; Primaria
El Oro;Piñas;Piñas, cabecera cantonal; No;21;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos; Ecuatoriano;Hombre;48;0;Mestizo; Educación Básica; Ecuatoriano;Mujer;40;6;Mestizo; Educación Básica
